iter	MultiClass
0	1.089414095
1	1.078534496
2	1.068349767
3	1.057362172
4	1.047141947
5	1.037494461
6	1.028326716
7	1.019195621
8	1.010121331
9	1.001316831
10	0.99308876
11	0.985614647
12	0.9780720438
13	0.9702329649
14	0.9622599162
15	0.9556416585
16	0.9487056635
17	0.942414856
18	0.9359201298
19	0.9293389655
20	0.9228498855
21	0.9166890577
22	0.9106787519
23	0.905163315
24	0.8997572587
25	0.8939964364
26	0.8890548618
27	0.8840868005
28	0.8786893951
29	0.8737606621
30	0.8686097276
31	0.8637492678
32	0.8592225354
33	0.8543305107
34	0.849903336
35	0.845369206
36	0.8412518333
37	0.8373269774
38	0.833271501
39	0.8290125721
40	0.8256507924
41	0.8223281104
42	0.8188634847
43	0.8148166311
44	0.8112314966
45	0.8080696915
46	0.8044917937
47	0.8011687934
48	0.7978716759
49	0.7946995864
50	0.7912794175
51	0.7885020356
52	0.7854882909
53	0.7828187005
54	0.7794587117
55	0.7766033441
56	0.7737835625
57	0.7708869634
58	0.768117749
59	0.7653898737
60	0.7630972416
61	0.7609124322
62	0.7582724899
63	0.7559624716
64	0.7537051996
65	0.7511269069
66	0.7490060056
67	0.7467412062
68	0.744375744
69	0.7422175832
70	0.7399698369
71	0.7375813836
72	0.7360323571
73	0.7340083743
74	0.7319658745
75	0.7302284947
76	0.7281004082
77	0.7259818646
78	0.7240687783
79	0.7220179276
80	0.720255946
81	0.718230344
82	0.7165874054
83	0.7145275454
84	0.7128362805
85	0.71109818
86	0.7096750727
87	0.7078062052
88	0.706036378
89	0.7043445776
90	0.702956741
91	0.701661341
92	0.7000100614
93	0.698294882
94	0.6965007616
95	0.694888141
96	0.6933789431
97	0.6922164269
98	0.6909950182
99	0.6895240607
100	0.6880446611
101	0.6868469713
102	0.6852692417
103	0.6840835933
104	0.682887926
105	0.6816136026
106	0.6804928237
107	0.6793604558
108	0.6781163376
109	0.6768293625
110	0.6756958452
111	0.6743309621
112	0.6731647585
113	0.6722523062
114	0.6711745346
115	0.6700069724
116	0.6688723867
117	0.6675250642
118	0.6665796397
119	0.6653663344
120	0.664289755
121	0.6632477194
122	0.662476192
123	0.6615617647
124	0.6605798991
125	0.6596785995
126	0.6588613851
127	0.6580038199
128	0.6569863622
129	0.6559133862
130	0.6550454744
131	0.6541258134
132	0.6534215465
133	0.6525529088
134	0.6517649386
135	0.6508656325
136	0.6500430736
137	0.6492345229
138	0.6483601112
139	0.6475104023
140	0.6465076325
141	0.6457626325
142	0.6449072685
143	0.6441250922
144	0.6432494396
145	0.6424504225
146	0.6414332601
147	0.6406469793
148	0.6399768159
149	0.6392447188
150	0.638445211
151	0.6376526428
152	0.6367677537
153	0.6360541094
154	0.6353449424
155	0.6346437053
156	0.6340997631
157	0.6335514988
158	0.6327770832
159	0.6319697875
160	0.6310777925
161	0.6304840809
162	0.6297570832
163	0.6290485171
164	0.6283933274
165	0.6276027934
166	0.6267614754
167	0.6258138854
168	0.6252276325
169	0.6245593242
170	0.6239722514
171	0.6233476173
172	0.6225124696
173	0.6219785223
174	0.6215195223
175	0.620921067
176	0.6203751864
177	0.6198771278
178	0.619156253
179	0.6185314292
180	0.6180635656
181	0.6175564227
182	0.6168904853
183	0.6164054193
184	0.6158799316
185	0.6151645518
186	0.6146554275
187	0.6140584348
188	0.6135303795
189	0.6128985376
190	0.612330536
191	0.6117807532
192	0.6110610276
193	0.6105731802
194	0.6098793204
195	0.6093995399
196	0.6088138105
197	0.6082318618
198	0.6078625484
199	0.6074855822
200	0.6069368205
201	0.6064977819
202	0.6058915258
203	0.6052705636
204	0.6048287127
205	0.6044627356
206	0.6040031739
207	0.6036646474
208	0.6030077885
209	0.6024705484
210	0.6018571014
211	0.6012948133
212	0.6009176611
213	0.6006207099
214	0.6001416954
215	0.5996227665
216	0.5991344733
217	0.5987184647
218	0.5981038124
219	0.597606504
220	0.5971968748
221	0.5968365415
222	0.5966634823
223	0.5961809381
224	0.5957166352
225	0.5951475151
226	0.5947652328
227	0.594466878
228	0.5939555662
229	0.5933038885
230	0.5932181692
231	0.5926887567
232	0.5922502589
233	0.5918440764
234	0.5913549395
235	0.5908722772
236	0.590551927
237	0.5900402986
238	0.5895571533
239	0.58907167
240	0.5887072854
241	0.5881898603
242	0.5876925932
243	0.5872364814
244	0.5868117309
245	0.5863002208
246	0.5858770937
247	0.5855660902
248	0.5852444523
249	0.5849157443
250	0.5843565856
251	0.5840392722
252	0.5835263098
253	0.5832833995
254	0.5828810052
255	0.5823812228
256	0.5820034291
257	0.5814518722
258	0.5809626582
259	0.5805301898
260	0.5800331127
261	0.5794686973
262	0.5789519721
263	0.5787551917
264	0.578294624
265	0.5778351072
266	0.5776874064
267	0.5774674277
268	0.57721315
269	0.5768282795
270	0.57653332
271	0.5761229483
272	0.5758933927
273	0.5756698026
274	0.5752693415
275	0.5749114157
276	0.5746030183
277	0.5742864754
278	0.5738978945
279	0.5734237332
280	0.5732825418
281	0.5728302191
282	0.5724649091
283	0.5721641241
284	0.57185365
285	0.5715524602
286	0.5712660889
287	0.5710109887
288	0.5706836179
289	0.5703738502
290	0.5702149885
291	0.5697835431
292	0.5694291121
293	0.5692004953
294	0.5689528368
295	0.5684522553
296	0.5680962557
297	0.5677037711
298	0.5674862403
299	0.5672941128
300	0.5669850812
301	0.5667728688
302	0.5663820022
303	0.5659589157
304	0.5657150439
305	0.5655338897
306	0.5652983829
307	0.5649146992
308	0.5644915377
309	0.5641595109
310	0.5640034063
311	0.5637504619
312	0.5633954905
313	0.5632730322
314	0.5628476585
315	0.562603066
316	0.5623525444
317	0.5621301559
318	0.5618511904
319	0.5616067159
320	0.5613856825
321	0.5611577114
322	0.5607964985
323	0.5603706348
324	0.5601546189
325	0.5599143514
326	0.5594907381
327	0.5591217718
328	0.5586799206
329	0.5582032942
330	0.5579180709
331	0.5576152432
332	0.5574032028
333	0.5571449678
334	0.5567585303
335	0.5564540497
336	0.5562557666
337	0.5560268664
338	0.5556353375
339	0.5553075261
340	0.5550849641
341	0.5547562176
342	0.5544332528
343	0.5541506594
344	0.5537094143
345	0.5535250822
346	0.5532856192
347	0.5529856941
348	0.5527089674
349	0.552255357
350	0.5520032419
351	0.5517483213
352	0.5513876728
353	0.5511514815
354	0.5508837427
355	0.5506245665
356	0.5503943249
357	0.5500351632
358	0.5498501212
359	0.549435891
360	0.5493261868
361	0.5489637279
362	0.5488098563
363	0.5485380256
364	0.5481827933
365	0.5479245212
366	0.5477213441
367	0.5474558033
368	0.5471359331
369	0.5468315773
370	0.5466247761
371	0.5463901087
372	0.5461037992
373	0.5458673898
374	0.5455933048
