iter	Passed	Remaining
0	11	4376
1	34	6419
2	42	5260
3	47	4362
4	52	3862
5	56	3503
6	61	3249
7	66	3048
8	71	2891
9	75	2765
10	80	2658
11	85	2585
12	90	2507
13	94	2443
14	100	2401
15	105	2369
16	110	2333
17	115	2294
18	130	2438
19	135	2400
20	140	2361
21	144	2324
22	149	2291
23	154	2258
24	159	2228
25	163	2199
26	169	2184
27	174	2160
28	179	2140
29	186	2144
30	192	2138
31	198	2123
32	203	2104
33	207	2082
34	212	2064
35	218	2053
36	222	2034
37	227	2021
38	233	2014
39	238	1995
40	243	1980
41	248	1971
42	253	1953
43	257	1937
44	262	1922
45	267	1911
46	272	1899
47	276	1885
48	281	1874
49	286	1863
50	291	1850
51	295	1837
52	300	1828
53	305	1816
54	310	1807
55	315	1797
56	320	1786
57	325	1777
58	329	1765
59	334	1756
60	339	1746
61	343	1735
62	348	1724
63	352	1713
64	357	1704
65	361	1694
66	366	1685
67	371	1676
68	375	1666
69	380	1657
70	385	1649
71	389	1640
72	394	1631
73	399	1624
74	404	1616
75	408	1608
76	413	1599
77	418	1592
78	422	1584
79	427	1575
80	432	1568
81	437	1563
82	442	1555
83	446	1547
84	451	1540
85	456	1532
86	460	1524
87	465	1517
88	470	1510
89	474	1502
90	479	1495
91	483	1487
92	487	1479
93	492	1472
94	497	1466
95	502	1459
96	506	1452
97	511	1444
98	515	1438
99	520	1431
100	525	1425
101	530	1418
102	534	1412
103	539	1405
104	544	1400
105	549	1395
106	554	1390
107	560	1385
108	565	1380
109	569	1372
110	574	1366
111	579	1359
112	583	1352
113	587	1346
114	589	1333
115	594	1326
116	599	1321
117	603	1314
118	608	1308
119	613	1302
120	617	1296
121	622	1290
122	626	1284
123	631	1278
124	636	1272
125	640	1266
126	645	1260
127	650	1255
128	655	1249
129	660	1244
130	665	1240
131	671	1235
132	676	1230
133	681	1225
134	686	1221
135	692	1216
136	697	1211
137	702	1206
138	707	1201
139	712	1196
140	717	1190
141	721	1184
142	726	1178
143	731	1173
144	736	1167
145	741	1162
146	745	1157
147	750	1150
148	755	1145
149	759	1139
150	765	1135
151	769	1129
152	774	1123
153	779	1118
154	783	1112
155	788	1106
156	793	1101
157	797	1095
158	802	1090
159	807	1084
160	811	1079
161	816	1073
162	820	1067
163	825	1061
164	829	1055
165	834	1050
166	838	1044
167	843	1039
168	848	1034
169	853	1028
170	857	1022
171	862	1017
172	866	1012
173	871	1006
174	875	1001
175	880	995
176	885	990
177	889	984
178	894	979
179	899	974
180	904	969
181	908	963
182	913	958
183	917	952
184	922	947
185	927	942
186	931	936
187	936	931
188	941	926
189	945	920
190	950	915
191	954	909
192	959	904
193	964	899
194	968	894
195	973	888
196	977	883
197	982	878
198	987	873
199	993	869
200	998	864
201	1003	859
202	1007	853
203	1012	849
204	1017	843
205	1022	838
206	1026	833
207	1031	827
208	1035	822
209	1040	817
210	1044	812
211	1049	807
212	1054	801
213	1058	796
214	1063	791
215	1068	786
216	1072	781
217	1077	776
218	1082	770
219	1087	765
220	1091	760
221	1096	755
222	1100	750
223	1105	745
224	1110	740
225	1114	734
226	1119	729
227	1124	724
228	1128	719
229	1132	714
230	1137	708
231	1141	703
232	1146	698
233	1151	693
234	1156	688
235	1161	683
236	1165	678
237	1170	673
238	1175	668
239	1179	663
240	1183	658
241	1188	653
242	1192	648
243	1197	642
244	1202	638
245	1207	633
246	1212	628
247	1217	623
248	1221	618
249	1226	613
250	1231	608
251	1235	603
252	1240	598
253	1245	593
254	1250	588
255	1254	583
256	1259	578
257	1263	573
258	1268	568
259	1272	563
260	1277	558
261	1282	553
262	1286	548
263	1291	542
264	1295	537
265	1300	532
266	1304	527
267	1309	522
268	1314	517
269	1318	512
270	1323	507
271	1328	502
272	1332	497
273	1337	492
274	1342	488
275	1346	483
276	1351	478
277	1355	473
278	1360	468
279	1364	463
280	1369	458
281	1374	453
282	1379	448
283	1383	443
284	1387	438
285	1392	433
286	1397	428
287	1402	423
288	1406	418
289	1411	413
290	1413	408
291	1418	403
292	1423	398
293	1427	393
294	1432	388
295	1436	383
296	1441	378
297	1445	373
298	1450	368
299	1454	363
300	1459	358
301	1464	353
302	1468	348
303	1473	344
304	1478	339
305	1482	334
306	1487	329
307	1491	324
308	1496	319
309	1500	314
310	1505	309
311	1510	305
312	1515	300
313	1519	295
314	1524	290
315	1528	285
316	1533	280
317	1537	275
318	1542	270
319	1546	265
320	1551	261
321	1556	256
322	1561	251
323	1565	246
324	1570	241
325	1574	236
326	1579	231
327	1584	227
328	1588	222
329	1593	217
330	1597	212
331	1602	207
332	1607	202
333	1611	197
334	1616	193
335	1621	188
336	1625	183
337	1630	178
338	1635	173
339	1640	168
340	1644	163
341	1649	159
342	1654	154
343	1659	149
344	1664	144
345	1669	139
346	1673	135
347	1679	130
348	1683	125
349	1688	120
350	1692	115
351	1697	110
352	1702	106
353	1707	101
354	1711	96
355	1716	91
356	1720	86
357	1725	81
358	1730	77
359	1734	72
360	1738	67
361	1743	62
362	1747	57
363	1752	52
364	1756	48
365	1761	43
366	1766	38
367	1770	33
368	1775	28
369	1780	24
370	1784	19
371	1789	14
372	1793	9
373	1798	4
374	1802	0
